"hgnc_symbol	ensembl_gene_id	gene_biotype"
"MT-TC	ENSG00000210140	Mt_tRNA"
"ARSFP1	ENSG00000232226	transcribed_unprocessed_pseudogene"
"LINC00526	ENSG00000264575	lncRNA"
"PPIAP14	ENSG00000264775	processed_pseudogene"
"IMPA2	ENSG00000141401	protein_coding"
"TOMM40P2	ENSG00000215270	processed_pseudogene"
"IGKV1OR22-5	ENSG00000230481	IG_V_pseudogene"
"RAB31	ENSG00000168461	protein_coding"
"LINC00470	ENSG00000132204	lncRNA"
"COX6CP3	ENSG00000266251	processed_pseudogene"
"LINC01254	ENSG00000260913	lncRNA"
"YES1	ENSG00000176105	protein_coding"
"SRY	ENSG00000184895	protein_coding"
"RNASEH2CP1	ENSG00000237659	processed_pseudogene"
"NAP1L1P2	ENSG00000229163	processed_pseudogene"
"OSBP2	ENSG00000184792	protein_coding"
"NDUFV2	ENSG00000178127	protein_coding"
"MPPE1	ENSG00000154889	protein_coding"
"OSM	ENSG00000099985	protein_coding"
"HORMAD2	ENSG00000176635	protein_coding"
"SLC14A2	ENSG00000132874	protein_coding"
"RALBP1	ENSG00000017797	protein_coding"
"TMEM230	ENSG00000089063	protein_coding"
"PCSK2	ENSG00000125851	protein_coding"
"NOVA1	ENSG00000139910	protein_coding"
"CACNA1I	ENSG00000100346	protein_coding"
"RPS4Y2	ENSG00000280969	protein_coding"
"RPS8P3	ENSG00000215457	processed_pseudogene"
"ANKRD12	ENSG00000101745	protein_coding"
"SKA1	ENSG00000154839	protein_coding"
"RPL17P46	ENSG00000239689	processed_pseudogene"
"RSL24D1P9	ENSG00000265402	processed_pseudogene"
"MAP1LC3P	ENSG00000267647	processed_pseudogene"
"ZNF736P9Y	ENSG00000239893	transcribed_processed_pseudogene"
"CST2	ENSG00000170369	protein_coding"
"CLDN23	ENSG00000253958	protein_coding"
"DEFA4	ENSG00000164821	protein_coding"
"RPL39P40	ENSG00000226580	processed_pseudogene"
"PPP1R3B	ENSG00000173281	protein_coding"
"SNRPGP2	ENSG00000264350	processed_pseudogene"
"MTND4P7	ENSG00000253257	processed_pseudogene"
"TNKS	ENSG00000173273	protein_coding"
"MCAT	ENSG00000100294	protein_coding"
"LINC02313	ENSG00000258474	lncRNA"
"SLC5A1	ENSG00000100170	protein_coding"
